n.identity,n.properties.languages,n.properties.year,n.properties.imdbId,n.properties.runtime,n.properties.imdbRating,n.properties.movieId,n.properties.countries,n.properties.imdbVotes,n.properties.title,n.properties.url,n.properties.revenue,n.properties.tmdbId,n.properties.plot,n.properties.poster,n.properties.released,n.properties.budget
20,"['English', ' French']",1995.0,0112346,114.0,6.8,11,['USA'],41983.0,"American President, The",https://themoviedb.org/movie/9087,107879496.0,9087,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.",https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,62000000.0
21,"['English', ' German']",1995.0,0112896,88.0,5.8,12,"['USA', ' France']",29321.0,Dracula: Dead and Loving It,https://themoviedb.org/movie/12110,,12110,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,
22,['English'],1995.0,0112453,78.0,7.1,13,['USA'],29277.0,Balto,https://themoviedb.org/movie/21032,11348324.0,21032,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg,1995-12-22,
24,"['English', ' Mandarin', ' Russian']",1995.0,0113987,192.0,7.1,14,['USA'],23508.0,Nixon,https://themoviedb.org/movie/10858,13681765.0,10858,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,1996-01-05,44000000.0
25,['English'],1995.0,0112760,124.0,5.6,15,"['USA', ' France', ' Italy', ' Germany']",20522.0,Cutthroat Island,https://themoviedb.org/movie/1408,10017322.0,1408,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,98000000.0
26,['English'],1995.0,0112641,178.0,8.2,16,"['USA', ' France']",320118.0,Casino,https://themoviedb.org/movie/524,116112375.0,524,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg,1995-11-22,52000000.0
27,"['English', ' French']",1995.0,0114388,136.0,7.7,17,"['USA', ' UK']",76082.0,Sense and Sensibility,https://themoviedb.org/movie/4584,134582776.0,4584,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1996-01-26,16000000.0
28,['English'],1995.0,0113101,98.0,6.7,18,['USA'],75952.0,Four Rooms,https://themoviedb.org/movie/5,4257354.0,5,Four interlocking tales that take place in a fading hotel on New Year's Eve.,https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg,1995-12-25,4000000.0
29,['English'],1995.0,0112281,90.0,6.3,19,['USA'],155200.0,Ace Ventura: When Nature Calls,https://themoviedb.org/movie/9273,212385533.0,9273,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,30000000.0
30,['English'],1995.0,0113845,110.0,5.6,20,['USA'],31488.0,Money Train,https://themoviedb.org/movie/11517,77224232.0,11517,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-22,68000000.0
31,['English'],1995.0,0113161,105.0,6.9,21,['USA'],61591.0,Get Shorty,https://themoviedb.org/movie/8012,115101622.0,8012,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg,1995-10-20,30250000.0
32,['English'],1995.0,0112722,123.0,6.6,22,['USA'],41335.0,Copycat,https://themoviedb.org/movie/1710,,1710,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg,1995-10-27,
34,"['English', ' Dutch', ' Spanish']",1995.0,0112401,132.0,6.3,23,"['France', ' USA']",60996.0,Assassins,https://themoviedb.org/movie/9691,30303072.0,9691,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg,1995-10-06,50000000.0
35,['English'],1995.0,0114168,111.0,6.5,24,['USA'],23715.0,Powder,https://themoviedb.org/movie/12665,,12665,A young bald albino boy with unique powers shakes up the rural community he lives in.,https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,1995-10-27,
36,"['English', ' Russian']",1995.0,0113627,111.0,7.6,25,['USA'],91469.0,Leaving Las Vegas,https://themoviedb.org/movie/451,49800000.0,451,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg,1996-02-09,3600000.0
38,['English'],1995.0,0114057,123.0,7.0,26,"['USA', ' UK']",7241.0,Othello,https://themoviedb.org/movie/16420,,16420,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,1996-01-19,
39,['English'],1995.0,0114011,100.0,6.7,27,['USA'],21002.0,Now and Then,https://themoviedb.org/movie/9263,27400000.0,9263,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg,1995-10-20,12000000.0
40,['English'],1995.0,0114117,107.0,7.7,28,"['UK', ' USA', ' France']",8758.0,Persuasion,https://themoviedb.org/movie/17015,,17015,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,1995-09-27,
41,"['French', ' Cantonese']",1995.0,0112682,112.0,7.7,29,"['France', ' Germany', ' Spain']",54490.0,"City of Lost Children, The (Cité des enfants perdus, La)",https://themoviedb.org/movie/902,1738611.0,902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg,1995-12-15,18000000.0
42,['Mandarin'],1995.0,0115012,108.0,7.2,30,"['France', ' China']",4140.0,Shanghai Triad (Yao a yao yao dao waipo qiao),https://themoviedb.org/movie/37557,,37557,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-12-22,2300000.0
43,['English'],1995.0,0112792,99.0,6.4,31,['USA'],37045.0,Dangerous Minds,https://themoviedb.org/movie/9909,179519401.0,9909,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg,1995-08-11,23000000.0
44,"['English', ' French']",1995.0,0114746,129.0,8.1,32,['USA'],446779.0,Twelve Monkeys (a.k.a. 12 Monkeys),https://themoviedb.org/movie/63,168840000.0,63,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg,1996-01-05,29500000.0
45,['English'],1995.0,0112431,91.0,6.8,34,"['Australia', ' USA']",91870.0,Babe,https://themoviedb.org/movie/9598,254134910.0,9598,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg,1995-08-04,30000000.0
46,['English'],1995.0,0112637,121.0,6.9,35,"['UK', ' France']",4351.0,Carrington,https://themoviedb.org/movie/47018,,47018,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,1995-11-10,
47,['English'],1995.0,0112818,122.0,7.6,36,"['UK', ' USA']",71231.0,Dead Man Walking,https://themoviedb.org/movie/687,39363635.0,687,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,1996-02-02,11000000.0
48,"['English', ' Russian']",1995.0,0112286,51.0,6.6,37,['USA'],203.0,Across the Sea of Time,https://themoviedb.org/movie/139405,16015639.0,139405,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",,1995-10-20,
50,['English'],1995.0,0113442,101.0,5.7,38,['USA'],14602.0,It Takes Two,https://themoviedb.org/movie/33689,,33689,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg,1995-11-17,
52,"['English', ' Spanish']",1995.0,0112697,97.0,6.8,39,['USA'],116376.0,Clueless,https://themoviedb.org/movie/9603,56631572.0,9603,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg,1995-07-19,12000000.0
53,['English'],1995.0,0112749,106.0,6.9,40,"['South Africa', ' USA']",1399.0,"Cry, the Beloved Country",https://themoviedb.org/movie/34615,676525.0,34615,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,1995-12-15,
54,['English'],1995.0,0114279,104.0,7.5,41,"['UK', ' USA']",11297.0,Richard III,https://themoviedb.org/movie/31174,2748518.0,31174,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1995-12-29,
55,['English'],1995.0,0112819,119.0,6.8,42,['USA'],14749.0,Dead Presidents,https://themoviedb.org/movie/11443,24147179.0,11443,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg,1995-10-06,10000000.0
57,"['English', ' Latin']",1995.0,0114272,117.0,6.7,43,"['USA', ' UK']",7423.0,Restoration,https://themoviedb.org/movie/35196,,35196,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg,1996-02-02,19000000.0
58,['English'],1995.0,0113855,101.0,5.8,44,['USA'],79687.0,Mortal Kombat,https://themoviedb.org/movie/9312,122195920.0,9312,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1995-08-18,18000000.0
59,['English'],1995.0,0114681,106.0,6.8,45,"['USA', ' UK', ' Canada']",33928.0,To Die For,https://themoviedb.org/movie/577,21284514.0,577,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,1995-10-06,20000000.0
60,['English'],1995.0,0113347,109.0,6.2,46,['USA'],8258.0,How to Make an American Quilt,https://themoviedb.org/movie/11861,23574130.0,11861,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,1995-10-06,10000000.0
61,['English'],1995.0,0114369,127.0,8.6,47,['USA'],981458.0,Seven (a.k.a. Se7en),https://themoviedb.org/movie/807,327311859.0,807,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.",https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg,1995-09-22,33000000.0
62,"['English', ' Algonquin']",1995.0,0114148,81.0,6.6,48,['USA'],113939.0,Pocahontas,https://themoviedb.org/movie/10530,346079773.0,10530,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-23,55000000.0
64,['English'],1995.0,0114916,94.0,6.8,49,['Canada'],5192.0,When Night Is Falling,https://themoviedb.org/movie/8391,,8391,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,1995-11-17,
65,"['English', ' Hungarian', ' Spanish', ' French']",1995.0,0114814,106.0,8.6,50,"['USA', ' Germany']",711361.0,"Usual Suspects, The",https://themoviedb.org/movie/629,23341568.0,629,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg,1995-09-15,6000000.0
66,['English'],1995.0,0113819,95.0,7.1,52,['USA'],30824.0,Mighty Aphrodite,https://themoviedb.org/movie/11448,6700000.0,11448,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.",https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,1995-11-10,15000000.0
67,"['Albanian', ' Italian']",1994.0,0110299,116.0,7.6,53,"['Italy', ' France', ' Switzerland']",1714.0,Lamerica,https://themoviedb.org/movie/49133,,49133,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,1995-10-04,
68,['English'],1995.0,0112499,100.0,5.4,54,['USA'],6671.0,"Big Green, The",https://themoviedb.org/movie/26441,,26441,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg,1995-09-29,
69,"['English', ' Hebrew']",1995.0,0113158,115.0,6.4,55,"['USA', ' France']",2307.0,Georgia,https://themoviedb.org/movie/97406,,97406,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1995-12-08,
70,['English'],1995.0,0113321,103.0,6.6,57,['USA'],8945.0,Home for the Holidays,https://themoviedb.org/movie/9089,17519169.0,9089,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg,1995-11-03,
71,"['Italian', ' Spanish']",1994.0,0110877,108.0,7.8,58,"['Italy', ' France', ' Belgium']",25355.0,"Postman, The (Postino, Il)",https://themoviedb.org/movie/11010,,11010,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg,1996-03-22,
72,"['French', ' English']",1995.0,0112714,100.0,7.6,59,"['Canada', ' UK', ' France']",1347.0,"Confessional, The (Confessionnal, Le)",https://themoviedb.org/movie/99040,,99040,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg,1996-08-16,
73,['English'],1995.0,0113419,96.0,5.9,60,['USA'],20201.0,"Indian in the Cupboard, The",https://themoviedb.org/movie/11359,,11359,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg,1995-07-14,45000000.0
74,"['English', ' French', ' Spanish', ' Korean']",1996.0,0116260,101.0,6.1,61,['USA'],9441.0,Eye for an Eye,https://themoviedb.org/movie/17182,26877589.0,17182,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,20000000.0
75,"['English', ' American Sign Language']",1995.0,0113862,143.0,7.3,62,['USA'],29633.0,Mr. Holland's Opus,https://themoviedb.org/movie/2054,106269971.0,2054,A frustrated composer finds fulfillment as a high school music teacher.,https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1996-01-19,23000000.0
76,"['English', ' Spanish']",1996.0,0116126,89.0,6.6,63,['USA'],37036.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,https://themoviedb.org/movie/10607,,10607,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...",https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,1996-01-12,
77,['English'],1996.0,0118002,96.0,5.2,64,['USA'],4448.0,Two if by Sea,https://themoviedb.org/movie/19760,10658278.0,19760,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg,1996-01-12,
78,['English'],1996.0,0115683,88.0,4.3,65,['USA'],21048.0,Bio-Dome,https://themoviedb.org/movie/9536,,9536,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,1996-01-12,15000000.0
79,['English'],1996.0,0116839,93.0,2.4,66,['USA'],7798.0,Lawnmower Man 2: Beyond Cyberspace,https://themoviedb.org/movie/11525,2409225.0,11525,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg,1996-01-12,
80,"['French', ' Spanish']",1995.0,0113149,104.0,6.4,68,['France'],3674.0,French Twist (Gazon maudit),https://themoviedb.org/movie/4482,,4482,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg,1996-01-19,
81,['English'],1995.0,0113118,91.0,7.3,69,['USA'],71667.0,Friday,https://themoviedb.org/movie/10634,28215918.0,10634,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.",https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg,1995-04-26,3500000.0
82,"['English', ' Spanish']",1996.0,0116367,108.0,7.3,70,['USA'],212165.0,From Dusk Till Dawn,https://themoviedb.org/movie/755,25836616.0,755,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1996-01-19,19000000.0
83,"['English', ' Russian']",1995.0,0113010,91.0,4.1,71,['USA'],9973.0,Fair Game,https://themoviedb.org/movie/11859,11534477.0,11859,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg,1995-11-03,50000000.0
84,['English'],1995.0,0113537,96.0,7.1,72,['USA'],6885.0,Kicking and Screaming,https://themoviedb.org/movie/28387,718490.0,28387,"Following graduation, a handful of college students do nothing and talk about it wittily.",https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg,1995-10-06,
85,"['French', ' German', ' English']",1995.0,0113828,175.0,7.5,73,['France'],3151.0,"Misérables, Les",https://themoviedb.org/movie/48750,,48750,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...,https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg,1995-11-03,
86,['English'],1996.0,0115644,87.0,6.0,74,['USA'],6660.0,Bed of Roses,https://themoviedb.org/movie/20927,19030691.0,20927,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg,1996-01-26,
87,['English'],1995.0,0114367,108.0,6.4,76,"['Canada', ' USA', ' Japan']",19542.0,Screamers,https://themoviedb.org/movie/9102,5781885.0,9102,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg,1996-01-26,20000000.0
88,"['English', ' German']",1995.0,0113973,67.0,7.3,77,"['Germany', ' USA']",534.0,Nico Icon,https://themoviedb.org/movie/124626,,124626,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",,1995-11-16,
