relationship.start,relationship.end,end.identity,end.properties.name
312,16,16,Thriller
312,23,23,Horror
313,10,10,Drama
313,37,37,Sci-Fi
313,1,1,Adventure
314,13,13,Action
314,14,14,Crime
314,23,23,Horror
315,10,10,Drama
316,23,23,Horror
316,37,37,Sci-Fi
317,4,4,Comedy
318,10,10,Drama
319,33,33,Mystery
319,16,16,Thriller
320,10,10,Drama
320,56,56,War
321,10,10,Drama
322,13,13,Action
322,37,37,Sci-Fi
322,16,16,Thriller
323,9,9,Romance
323,4,4,Comedy
324,1,1,Adventure
324,10,10,Drama
324,56,56,War
325,10,10,Drama
326,4,4,Comedy
327,3,3,Children
328,4,4,Comedy
329,4,4,Comedy
329,10,10,Drama
330,10,10,Drama
330,63,63,Musical
331,162,162,Film-Noir
331,9,9,Romance
331,10,10,Drama
332,4,4,Comedy
333,16,16,Thriller
333,13,13,Action
333,14,14,Crime
333,10,10,Drama
334,10,10,Drama
334,33,33,Mystery
334,16,16,Thriller
335,9,9,Romance
335,10,10,Drama
335,4,4,Comedy
336,4,4,Comedy
336,10,10,Drama
337,16,16,Thriller
337,13,13,Action
337,14,14,Crime
337,6,6,Fantasy
338,10,10,Drama
339,3,3,Children
339,4,4,Comedy
339,6,6,Fantasy
340,56,56,War
340,9,9,Romance
340,10,10,Drama
340,4,4,Comedy
341,9,9,Romance
341,4,4,Comedy
342,10,10,Drama
343,13,13,Action
343,4,4,Comedy
344,9,9,Romance
344,4,4,Comedy
344,10,10,Drama
345,1,1,Adventure
345,9,9,Romance
345,3,3,Children
346,49,49,Documentary
347,51,51,IMAX
347,10,10,Drama
347,63,63,Musical
347,2,2,Animation
347,3,3,Children
347,1,1,Adventure
348,10,10,Drama
349,23,23,Horror
349,10,10,Drama
349,16,16,Thriller
349,33,33,Mystery
350,4,4,Comedy
350,13,13,Action
350,6,6,Fantasy
350,14,14,Crime
351,4,4,Comedy
351,1,1,Adventure
351,161,161,Western
352,10,10,Drama
353,4,4,Comedy
353,13,13,Action
354,4,4,Comedy
354,10,10,Drama
355,9,9,Romance
355,4,4,Comedy
355,10,10,Drama
356,16,16,Thriller
357,4,4,Comedy
357,3,3,Children
358,10,10,Drama
359,13,13,Action
359,16,16,Thriller
360,13,13,Action
360,9,9,Romance
360,16,16,Thriller
361,9,9,Romance
361,4,4,Comedy
362,16,16,Thriller
362,37,37,Sci-Fi
362,13,13,Action
363,16,16,Thriller
363,9,9,Romance
363,13,13,Action
363,1,1,Adventure
363,4,4,Comedy
364,10,10,Drama
364,9,9,Romance
365,10,10,Drama
365,23,23,Horror
365,9,9,Romance
365,16,16,Thriller
366,161,161,Western
367,13,13,Action
367,14,14,Crime
367,10,10,Drama
368,13,13,Action
368,4,4,Comedy
369,10,10,Drama
370,56,56,War
370,9,9,Romance
370,10,10,Drama
371,10,10,Drama
371,14,14,Crime
371,13,13,Action
372,14,14,Crime
372,10,10,Drama
373,1,1,Adventure
373,2,2,Animation
374,13,13,Action
374,6,6,Fantasy
374,1,1,Adventure
375,16,16,Thriller
375,13,13,Action
376,6,6,Fantasy
376,13,13,Action
377,16,16,Thriller
377,23,23,Horror
378,10,10,Drama
379,14,14,Crime
379,10,10,Drama
380,4,4,Comedy
380,6,6,Fantasy
380,3,3,Children
381,10,10,Drama
382,4,4,Comedy
383,4,4,Comedy
384,4,4,Comedy
384,16,16,Thriller
385,161,161,Western
386,9,9,Romance
386,4,4,Comedy
387,10,10,Drama
388,4,4,Comedy
389,16,16,Thriller
389,14,14,Crime
389,4,4,Comedy
389,13,13,Action
390,10,10,Drama
390,1,1,Adventure
390,3,3,Children
391,16,16,Thriller
392,13,13,Action
392,16,16,Thriller
393,10,10,Drama
394,10,10,Drama
394,9,9,Romance
395,23,23,Horror
395,16,16,Thriller
395,37,37,Sci-Fi
396,33,33,Mystery
396,10,10,Drama
396,16,16,Thriller
396,9,9,Romance
397,10,10,Drama
398,4,4,Comedy
399,10,10,Drama
399,14,14,Crime
400,161,161,Western
400,1,1,Adventure
400,4,4,Comedy
401,4,4,Comedy
402,16,16,Thriller
402,13,13,Action
402,1,1,Adventure
403,4,4,Comedy
403,37,37,Sci-Fi
404,10,10,Drama
404,16,16,Thriller
405,4,4,Comedy
406,10,10,Drama
406,13,13,Action
406,4,4,Comedy
407,10,10,Drama
408,9,9,Romance
408,4,4,Comedy
409,4,4,Comedy
410,13,13,Action
410,37,37,Sci-Fi
410,1,1,Adventure
411,49,49,Documentary
411,1,1,Adventure
412,9,9,Romance
412,4,4,Comedy
413,4,4,Comedy
414,10,10,Drama
414,9,9,Romance
415,9,9,Romance
415,4,4,Comedy
416,10,10,Drama
417,4,4,Comedy
418,10,10,Drama
418,4,4,Comedy
419,10,10,Drama
419,9,9,Romance
419,33,33,Mystery
420,10,10,Drama
421,4,4,Comedy
421,9,9,Romance
422,10,10,Drama
422,16,16,Thriller
423,1,1,Adventure
423,3,3,Children
423,10,10,Drama
424,14,14,Crime
424,10,10,Drama
424,16,16,Thriller
425,16,16,Thriller
426,10,10,Drama
426,161,161,Western
427,13,13,Action
427,1,1,Adventure
427,16,16,Thriller
427,9,9,Romance
427,10,10,Drama
427,14,14,Crime
428,4,4,Comedy
429,9,9,Romance
429,10,10,Drama
430,16,16,Thriller
430,10,10,Drama
430,14,14,Crime
431,16,16,Thriller
431,14,14,Crime
431,1,1,Adventure
431,13,13,Action
432,10,10,Drama
432,13,13,Action
432,56,56,War
433,13,13,Action
433,56,56,War
433,4,4,Comedy
434,4,4,Comedy
435,9,9,Romance
435,4,4,Comedy
436,9,9,Romance
436,10,10,Drama
437,4,4,Comedy
438,4,4,Comedy
439,10,10,Drama
439,4,4,Comedy
440,56,56,War
440,4,4,Comedy
441,13,13,Action
441,16,16,Thriller
442,10,10,Drama
443,4,4,Comedy
443,10,10,Drama
444,10,10,Drama
444,63,63,Musical
445,13,13,Action
445,14,14,Crime
445,16,16,Thriller
446,16,16,Thriller
446,37,37,Sci-Fi
446,1,1,Adventure
446,13,13,Action
447,10,10,Drama
447,16,16,Thriller
448,14,14,Crime
448,16,16,Thriller
448,10,10,Drama
449,10,10,Drama
450,1,1,Adventure
450,3,3,Children
451,6,6,Fantasy
451,1,1,Adventure
451,4,4,Comedy
451,13,13,Action
452,4,4,Comedy
453,161,161,Western
453,4,4,Comedy
454,9,9,Romance
454,10,10,Drama
455,4,4,Comedy
456,16,16,Thriller
457,10,10,Drama
458,33,33,Mystery
458,4,4,Comedy
459,13,13,Action
459,14,14,Crime
459,10,10,Drama
460,16,16,Thriller
460,1,1,Adventure
460,13,13,Action
461,10,10,Drama
462,4,4,Comedy
462,10,10,Drama
462,9,9,Romance
462,16,16,Thriller
463,9,9,Romance
463,4,4,Comedy
464,9,9,Romance
464,10,10,Drama
465,9,9,Romance
465,4,4,Comedy
466,4,4,Comedy
466,10,10,Drama
467,10,10,Drama
468,13,13,Action
468,9,9,Romance
468,3,3,Children
469,10,10,Drama
469,13,13,Action
469,37,37,Sci-Fi
470,4,4,Comedy
471,9,9,Romance
471,6,6,Fantasy
471,10,10,Drama
472,14,14,Crime
472,10,10,Drama
472,16,16,Thriller
473,10,10,Drama
474,9,9,Romance
474,10,10,Drama
475,10,10,Drama
476,13,13,Action
476,10,10,Drama
477,23,23,Horror
477,37,37,Sci-Fi
478,4,4,Comedy
478,33,33,Mystery
478,9,9,Romance
479,4,4,Comedy
480,10,10,Drama
480,9,9,Romance
481,10,10,Drama
481,4,4,Comedy
482,10,10,Drama
482,13,13,Action
482,33,33,Mystery
483,4,4,Comedy
484,16,16,Thriller
484,14,14,Crime
484,13,13,Action
484,37,37,Sci-Fi
484,10,10,Drama
485,4,4,Comedy
486,16,16,Thriller
486,14,14,Crime
487,13,13,Action
487,10,10,Drama
488,10,10,Drama
489,10,10,Drama
490,10,10,Drama
491,10,10,Drama
491,56,56,War
492,4,4,Comedy
492,10,10,Drama
493,10,10,Drama
494,3,3,Children
494,10,10,Drama
495,23,23,Horror
495,4,4,Comedy
495,14,14,Crime
496,13,13,Action
496,33,33,Mystery
496,6,6,Fantasy
496,1,1,Adventure
497,9,9,Romance
497,10,10,Drama
498,10,10,Drama
499,10,10,Drama
500,10,10,Drama
501,10,10,Drama
502,4,4,Comedy
502,10,10,Drama
502,9,9,Romance
503,16,16,Thriller
504,13,13,Action
504,37,37,Sci-Fi
504,16,16,Thriller
505,9,9,Romance
505,10,10,Drama
505,4,4,Comedy
506,4,4,Comedy
506,9,9,Romance
506,16,16,Thriller
507,14,14,Crime
507,13,13,Action
508,37,37,Sci-Fi
508,6,6,Fantasy
508,4,4,Comedy
508,3,3,Children
508,1,1,Adventure
508,13,13,Action
509,16,16,Thriller
509,1,1,Adventure
509,13,13,Action
510,33,33,Mystery
510,16,16,Thriller
510,13,13,Action
511,10,10,Drama
511,63,63,Musical
512,4,4,Comedy
512,9,9,Romance
513,3,3,Children
513,2,2,Animation
513,63,63,Musical
513,6,6,Fantasy
514,1,1,Adventure
514,13,13,Action
514,9,9,Romance
514,4,4,Comedy
515,161,161,Western
515,13,13,Action
515,10,10,Drama
516,16,16,Thriller
516,10,10,Drama
516,14,14,Crime
517,14,14,Crime
517,16,16,Thriller
518,49,49,Documentary
519,6,6,Fantasy
519,3,3,Children
519,13,13,Action
519,2,2,Animation
519,1,1,Adventure
520,4,4,Comedy
521,16,16,Thriller
521,10,10,Drama
522,4,4,Comedy
522,10,10,Drama
523,9,9,Romance
523,10,10,Drama
524,4,4,Comedy
525,10,10,Drama
525,23,23,Horror
526,4,4,Comedy
526,10,10,Drama
527,4,4,Comedy
527,10,10,Drama
528,4,4,Comedy
528,10,10,Drama
529,10,10,Drama
529,9,9,Romance
530,10,10,Drama
531,10,10,Drama
531,4,4,Comedy
532,3,3,Children
532,4,4,Comedy
533,10,10,Drama
533,3,3,Children
533,1,1,Adventure
534,10,10,Drama
535,49,49,Documentary
536,10,10,Drama
536,4,4,Comedy
537,4,4,Comedy
538,3,3,Children
538,4,4,Comedy
539,4,4,Comedy
539,6,6,Fantasy
539,10,10,Drama
539,16,16,Thriller
539,9,9,Romance
540,63,63,Musical
540,2,2,Animation
540,1,1,Adventure
540,4,4,Comedy
540,3,3,Children
541,13,13,Action
541,37,37,Sci-Fi
542,161,161,Western
542,10,10,Drama
542,1,1,Adventure
543,14,14,Crime
543,13,13,Action
543,16,16,Thriller
544,23,23,Horror
544,16,16,Thriller
544,14,14,Crime
545,63,63,Musical
545,10,10,Drama
545,6,6,Fantasy
545,2,2,Animation
545,3,3,Children
546,51,51,IMAX
546,63,63,Musical
546,9,9,Romance
546,3,3,Children
546,6,6,Fantasy
546,2,2,Animation
547,2,2,Animation
547,63,63,Musical
547,6,6,Fantasy
547,3,3,Children
548,9,9,Romance
548,4,4,Comedy
549,1,1,Adventure
549,161,161,Western
550,13,13,Action
550,4,4,Comedy
550,14,14,Crime
551,4,4,Comedy
552,10,10,Drama
552,9,9,Romance
553,6,6,Fantasy
553,23,23,Horror
554,4,4,Comedy
554,10,10,Drama
554,14,14,Crime
554,16,16,Thriller
555,3,3,Children
555,1,1,Adventure
556,23,23,Horror
556,37,37,Sci-Fi
556,1,1,Adventure
556,2,2,Animation
556,13,13,Action
557,37,37,Sci-Fi
557,13,13,Action
557,23,23,Horror
558,4,4,Comedy
559,10,10,Drama
559,9,9,Romance
560,16,16,Thriller
560,10,10,Drama
561,10,10,Drama
561,4,4,Comedy
562,3,3,Children
562,2,2,Animation
563,10,10,Drama
563,4,4,Comedy
564,4,4,Comedy
565,10,10,Drama
566,10,10,Drama
567,4,4,Comedy
568,16,16,Thriller
568,10,10,Drama
569,14,14,Crime
569,10,10,Drama
569,16,16,Thriller
569,33,33,Mystery
570,10,10,Drama
570,9,9,Romance
571,63,63,Musical
571,9,9,Romance
571,1,1,Adventure
571,2,2,Animation
571,3,3,Children
571,6,6,Fantasy
572,10,10,Drama
572,56,56,War
573,4,4,Comedy
574,4,4,Comedy
574,10,10,Drama
575,4,4,Comedy
576,9,9,Romance
577,4,4,Comedy
577,10,10,Drama
578,16,16,Thriller
578,10,10,Drama
579,56,56,War
579,13,13,Action
579,10,10,Drama
579,14,14,Crime
580,1,1,Adventure
580,33,33,Mystery
580,13,13,Action
580,16,16,Thriller
581,10,10,Drama
582,4,4,Comedy
583,6,6,Fantasy
583,1,1,Adventure
583,13,13,Action
584,4,4,Comedy
585,14,14,Crime
585,10,10,Drama
585,16,16,Thriller
586,2,2,Animation
586,1,1,Adventure
586,6,6,Fantasy
586,3,3,Children
586,63,63,Musical
587,16,16,Thriller
588,4,4,Comedy
589,4,4,Comedy
590,56,56,War
590,4,4,Comedy
590,10,10,Drama
591,13,13,Action
592,10,10,Drama
593,10,10,Drama
594,37,37,Sci-Fi
594,4,4,Comedy
595,1,1,Adventure
595,2,2,Animation
595,3,3,Children
595,4,4,Comedy
595,6,6,Fantasy
595,37,37,Sci-Fi
596,37,37,Sci-Fi
596,4,4,Comedy
596,1,1,Adventure
597,16,16,Thriller
597,10,10,Drama
598,10,10,Drama
599,10,10,Drama
599,33,33,Mystery
599,9,9,Romance
599,37,37,Sci-Fi
599,16,16,Thriller
600,14,14,Crime
601,10,10,Drama
602,10,10,Drama
602,9,9,Romance
603,13,13,Action
603,1,1,Adventure
603,4,4,Comedy
603,56,56,War
604,9,9,Romance
604,10,10,Drama
605,4,4,Comedy
605,9,9,Romance
606,13,13,Action
606,16,16,Thriller
606,37,37,Sci-Fi
607,10,10,Drama
607,14,14,Crime
607,13,13,Action
608,33,33,Mystery
608,16,16,Thriller
609,10,10,Drama
609,16,16,Thriller
610,10,10,Drama
610,9,9,Romance
611,10,10,Drama
612,4,4,Comedy
613,10,10,Drama
614,10,10,Drama
615,1,1,Adventure
615,13,13,Action
616,4,4,Comedy
617,10,10,Drama
617,14,14,Crime
617,16,16,Thriller
618,9,9,Romance
618,4,4,Comedy
619,3,3,Children
619,2,2,Animation
619,63,63,Musical
619,4,4,Comedy
619,1,1,Adventure
620,4,4,Comedy
621,1,1,Adventure
621,3,3,Children
622,33,33,Mystery
622,161,161,Western
622,10,10,Drama
623,10,10,Drama
623,9,9,Romance
624,4,4,Comedy
624,6,6,Fantasy
624,37,37,Sci-Fi
625,4,4,Comedy
626,4,4,Comedy
626,2,2,Animation
626,1,1,Adventure
627,10,10,Drama
628,49,49,Documentary
629,16,16,Thriller
629,23,23,Horror
629,6,6,Fantasy
629,10,10,Drama
630,4,4,Comedy
631,10,10,Drama
632,4,4,Comedy
633,16,16,Thriller
633,14,14,Crime
634,13,13,Action
634,1,1,Adventure
634,16,16,Thriller
635,23,23,Horror
636,16,16,Thriller
636,9,9,Romance
636,13,13,Action
636,1,1,Adventure
637,13,13,Action
637,37,37,Sci-Fi
638,2,2,Animation
638,37,37,Sci-Fi
639,23,23,Horror
639,16,16,Thriller
640,4,4,Comedy
641,2,2,Animation
641,4,4,Comedy
641,3,3,Children
642,162,162,Film-Noir
643,4,4,Comedy
644,13,13,Action
644,37,37,Sci-Fi
